sample_group,SECID,BOARDID,SHORTNAME,SECNAME,INSTRID,SECTYPE,MARKETCODE,CURRENCYID,STATUS,ISIN,evidence_note
EQIN,ABIO,SMAL,"iАРТГЕН ао","ПАО ""Артген""",EQIN,1,FNDT,SUR,A,RU000A0JNAB6,ordinary-share-like
EQIN,ABIO,SPEQ,"iАРТГЕН ао","ПАО ""Артген""",EQIN,1,RPST,SUR,A,RU000A0JNAB6,same SECID across boards
EQIN,ABIO,TQBR,"iАРТГЕН ао","ПАО ""Артген""",EQIN,1,FNDT,SUR,A,RU000A0JNAB6,core board candidate
EQIN,ABRD,SMAL,АбрауДюрсо,Абрау-Дюрсо ПАО ао,EQIN,1,FNDT,SUR,A,RU000A0JS5T7,ordinary-share-like
EQIN,ABRD,TQBR,АбрауДюрсо,Абрау-Дюрсо ПАО ао,EQIN,1,FNDT,SUR,A,RU000A0JS5T7,ordinary-share-like
EQIN,AFKS,SMAL,Система ао,"АФК ""Система"" ПАО ао",EQIN,1,FNDT,SUR,A,RU000A0DQZE3,ordinary-share-like
EQIN,AFKS,SPEQ,Система ао,"АФК ""Система"" ПАО ао",EQIN,1,RPST,SUR,A,RU000A0DQZE3,same SECID across boards
EQIN,AFKS,TQBR,Система ао,"АФК ""Система"" ПАО ао",EQIN,1,FNDT,SUR,A,RU000A0DQZE3,core board candidate
EQIN,AFLT,SMAL,Аэрофлот,Аэрофлот-росс.авиалин(ПАО)ао,EQIN,1,FNDT,SUR,A,RU0009062285,ordinary-share-like
EQIN,AFLT,SPEQ,Аэрофлот,Аэрофлот-росс.авиалин(ПАО)ао,EQIN,1,RPST,SUR,A,RU0009062285,same SECID across boards
EQIN,AFLT,TQBR,Аэрофлот,Аэрофлот-росс.авиалин(ПАО)ао,EQIN,1,FNDT,SUR,A,RU0009062285,core board candidate
EQIN_D,AGRO,TQBR,AGRO-гдр,ГДР ROS AGRO PLC ORD SHS,EQIN,D,FNDT,SUR,A,US7496552057,breaks naive EQIN=share rule
EQIN_D,CIAN,TQBR,CIAN-адр,АДР Cian PLC ORD SHS,EQIN,D,FNDT,SUR,A,US83418T1088,depositary-receipt-like
EQIN_D,FIVE,SPEQ,FIVE-гдр,ГДР X5 RetailGroup N.V.ORD SHS,EQIN,D,RPST,SUR,N,US98387E2054,non-active depositary receipt
EQIN_D,OZON,TQBR,OZON-адр,АДР Ozon Holdings PLC ORD SHS,EQIN,D,FNDT,SUR,A,US69269L1044,depositary-receipt-like
IFTF,AKAI,TQTF,AKAI ETF,БПИФ Антиинфляционный,IFTF,J,FNDT,SUR,A,RU000A109PQ9,core V1 fund evidence
